task_number	 question_number	 questionnaire_name	 question_nameeeeeeeeeeeee	 question_response	 attempt	 study_name	 session_id
2	0	realstart	commitrt	29335	1	jiang.selfother1	10287560
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287560
4	1	selfwords1	sw1choose	2	1	jiang.selfother1	10287560
4	1	selfwords1	sw1choosert	50974	1	jiang.selfother1	10287560
4	2	selfwords1	sw1scalert	8258	1	jiang.selfother1	10287560
4	2	selfwords1	sw1scale	3	1	jiang.selfother1	10287560
4	3	selfwords1	sw1valmaplert	8923	1	jiang.selfother1	10287560
4	3	selfwords1	sw1valmaple	3	1	jiang.selfother1	10287560
4	4	selfwords1	sw1cogaffmaplert	23131	1	jiang.selfother1	10287560
4	4	selfwords1	sw1cogaffmaple	5	1	jiang.selfother1	10287560
4	5	selfwords1	sw1valoakrt	7219	1	jiang.selfother1	10287560
4	5	selfwords1	sw1valoak	6	1	jiang.selfother1	10287560
4	6	selfwords1	sw1cogaffoakrt	10547	1	jiang.selfother1	10287560
4	6	selfwords1	sw1cogaffoak	6	1	jiang.selfother1	10287560
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287560
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287560
6	1003	iatselfcog	d	-0.25	1	jiang.selfother1	10287560
2	0	realstart	commitrt	37898	1	jiang.selfother1	10287563
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287563
4	1	otherwords1	ow1choosert	63525	1	jiang.selfother1	10287563
4	1	otherwords1	ow1choose	1	1	jiang.selfother1	10287563
4	2	otherwords1	ow1scalert	16578	1	jiang.selfother1	10287563
4	2	otherwords1	ow1scale	4	1	jiang.selfother1	10287563
4	3	otherwords1	ow1valmaplert	8337	1	jiang.selfother1	10287563
4	3	otherwords1	ow1valmaple	5	1	jiang.selfother1	10287563
4	4	otherwords1	ow1cogaffmaplert	15168	1	jiang.selfother1	10287563
4	4	otherwords1	ow1cogaffmaple	3	1	jiang.selfother1	10287563
4	5	otherwords1	ow1valoakrt	5335	1	jiang.selfother1	10287563
4	5	otherwords1	ow1valoak	5	1	jiang.selfother1	10287563
4	6	otherwords1	ow1cogaffoakrt	5865	1	jiang.selfother1	10287563
4	6	otherwords1	ow1cogaffoak	5	1	jiang.selfother1	10287563
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287563
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287563
6	1003	iatselfcog	d	-0.36	1	jiang.selfother1	10287563
2	0	realstart	commit	I will completw this study with my full attention	1	jiang.selfother1	10287564
2	0	realstart	commitrt	35100	1	jiang.selfother1	10287564
4	1	otherimages2	oi2choose	2	1	jiang.selfother1	10287564
4	1	otherimages2	oi2choosert	34685	1	jiang.selfother1	10287564
4	2	otherimages2	oi2scalert	12822	1	jiang.selfother1	10287564
4	2	otherimages2	oi2scale	3	1	jiang.selfother1	10287564
4	3	otherimages2	oi2valNorth	6	1	jiang.selfother1	10287564
4	3	otherimages2	oi2valNorthrt	10029	1	jiang.selfother1	10287564
4	4	otherimages2	oi2cogaffNorthrt	27168	1	jiang.selfother1	10287564
4	4	otherimages2	oi2cogaffNorth	7	1	jiang.selfother1	10287564
4	5	otherimages2	oi2valRich	6	1	jiang.selfother1	10287564
4	5	otherimages2	oi2valRichrt	8744	1	jiang.selfother1	10287564
4	6	otherimages2	oi2cogaffRichrt	29896	1	jiang.selfother1	10287564
4	6	otherimages2	oi2cogaffRich	1	1	jiang.selfother1	10287564
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287564
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287564
6	1003	iatselfcog	d	-0.63	1	jiang.selfother1	10287564
2	0	realstart	commitrt	37362	1	jiang.selfother1	10287565
2	0	realstart	commit	I wil complete this study with my full attention.	1	jiang.selfother1	10287565
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10287565
4	1	selfimages2	si2choosert	31186	1	jiang.selfother1	10287565
4	2	selfimages2	si2scalert	11516	1	jiang.selfother1	10287565
4	2	selfimages2	si2scale	4	1	jiang.selfother1	10287565
4	3	selfimages2	si2valNorthrt	10779	1	jiang.selfother1	10287565
4	3	selfimages2	si2valNorth	6	1	jiang.selfother1	10287565
4	4	selfimages2	si2cogaffNorthrt	14515	1	jiang.selfother1	10287565
4	4	selfimages2	si2cogaffNorth	7	1	jiang.selfother1	10287565
4	5	selfimages2	si2valRichrt	9245	1	jiang.selfother1	10287565
4	5	selfimages2	si2valRich	7	1	jiang.selfother1	10287565
4	6	selfimages2	si2cogaffRichrt	16293	1	jiang.selfother1	10287565
4	6	selfimages2	si2cogaffRich	2	1	jiang.selfother1	10287565
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287565
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10287565
6	1003	iatselfcog	d	0.38	1	jiang.selfother1	10287565
2	0	realstart	commitrt	40976	1	jiang.selfother1	10287567
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287567
4	1	otherimages2	oi2choosert	27563	1	jiang.selfother1	10287567
4	1	otherimages2	oi2choose	2	1	jiang.selfother1	10287567
4	2	otherimages2	oi2scalert	15162	1	jiang.selfother1	10287567
4	2	otherimages2	oi2scale	2	1	jiang.selfother1	10287567
4	3	otherimages2	oi2valNorth	6	1	jiang.selfother1	10287567
4	3	otherimages2	oi2valNorthrt	17906	1	jiang.selfother1	10287567
4	4	otherimages2	oi2cogaffNorthrt	19480	1	jiang.selfother1	10287567
4	4	otherimages2	oi2cogaffNorth	7	1	jiang.selfother1	10287567
4	5	otherimages2	oi2valRich	7	1	jiang.selfother1	10287567
4	5	otherimages2	oi2valRichrt	8131	1	jiang.selfother1	10287567
4	6	otherimages2	oi2cogaffRichrt	6660	1	jiang.selfother1	10287567
4	6	otherimages2	oi2cogaffRich	1	1	jiang.selfother1	10287567
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287567
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287567
6	1003	iatselfcog	d	-0.23	1	jiang.selfother1	10287567
2	0	realstart	commitrt	846750	1	jiang.selfother1	10287575
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287575
4	1	selfimages2	si2choose	2	1	jiang.selfother1	10287575
4	1	selfimages2	si2choosert	25637	1	jiang.selfother1	10287575
4	2	selfimages2	si2scalert	12104	1	jiang.selfother1	10287575
4	2	selfimages2	si2scale	2	1	jiang.selfother1	10287575
4	3	selfimages2	si2valNorthrt	5699	1	jiang.selfother1	10287575
4	3	selfimages2	si2valNorth	3	1	jiang.selfother1	10287575
4	4	selfimages2	si2cogaffNorthrt	26454	1	jiang.selfother1	10287575
4	4	selfimages2	si2cogaffNorth	6	1	jiang.selfother1	10287575
4	5	selfimages2	si2valRichrt	4082	1	jiang.selfother1	10287575
4	5	selfimages2	si2valRich	5	1	jiang.selfother1	10287575
4	6	selfimages2	si2cogaffRichrt	6065	1	jiang.selfother1	10287575
4	6	selfimages2	si2cogaffRich	6	1	jiang.selfother1	10287575
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287575
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Feeling and Self with Thinking.	1	jiang.selfother1	10287575
6	1003	iatselfcog	d	0.16	1	jiang.selfother1	10287575
2	0	realstart	commitrt	78273	1	jiang.selfother1	10287610
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287610
4	1	otherwords1	ow1choosert	123706	1	jiang.selfother1	10287610
4	1	otherwords1	ow1choose	1	1	jiang.selfother1	10287610
4	2	otherwords1	ow1scalert	20338	1	jiang.selfother1	10287610
4	2	otherwords1	ow1scale	5	1	jiang.selfother1	10287610
4	3	otherwords1	ow1valmaplert	15690	1	jiang.selfother1	10287610
4	3	otherwords1	ow1valmaple	7	1	jiang.selfother1	10287610
4	4	otherwords1	ow1cogaffmaplert	45355	1	jiang.selfother1	10287610
4	4	otherwords1	ow1cogaffmaple	7	1	jiang.selfother1	10287610
4	5	otherwords1	ow1valoakrt	48914	1	jiang.selfother1	10287610
4	5	otherwords1	ow1valoak	5	1	jiang.selfother1	10287610
4	6	otherwords1	ow1cogaffoakrt	45099	1	jiang.selfother1	10287610
4	6	otherwords1	ow1cogaffoak	6	1	jiang.selfother1	10287610
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287610
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287610
6	1003	iatselfcog	d	-0.52	1	jiang.selfother1	10287610
2	0	realstart	commitrt	66310	1	jiang.selfother1	10287611
2	0	realstart	commit	I Will complete this study with my full attention	1	jiang.selfother1	10287611
4	1	otherwords1	ow1choosert	12541	1	jiang.selfother1	10287611
4	1	otherwords1	ow1choose	1	1	jiang.selfother1	10287611
4	2	otherwords1	ow1scale	6	1	jiang.selfother1	10287611
4	2	otherwords1	ow1scalert	12517	1	jiang.selfother1	10287611
4	3	otherwords1	ow1valmaple	7	1	jiang.selfother1	10287611
4	3	otherwords1	ow1valmaplert	29543	1	jiang.selfother1	10287611
4	4	otherwords1	ow1cogaffmaple	7	1	jiang.selfother1	10287611
4	4	otherwords1	ow1cogaffmaplert	36279	1	jiang.selfother1	10287611
4	5	otherwords1	ow1valoak	6	1	jiang.selfother1	10287611
4	5	otherwords1	ow1valoakrt	38512	1	jiang.selfother1	10287611
4	6	otherwords1	ow1cogaffoakrt	19663	1	jiang.selfother1	10287611
4	6	otherwords1	ow1cogaffoak	5	1	jiang.selfother1	10287611
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287611
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287611
6	1003	iatselfcog	d	-0.52	1	jiang.selfother1	10287611
2	0	realstart	commitrt	50622	1	jiang.selfother1	10287617
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287617
4	1	selfimages1	si1choose	1	1	jiang.selfother1	10287617
4	1	selfimages1	si1choosert	29978	1	jiang.selfother1	10287617
4	2	selfimages1	si1scalert	25230	1	jiang.selfother1	10287617
4	2	selfimages1	si1scale	6	1	jiang.selfother1	10287617
4	3	selfimages1	si1valRichrt	11727	1	jiang.selfother1	10287617
4	3	selfimages1	si1valRich	4	1	jiang.selfother1	10287617
4	4	selfimages1	si1cogaffRichrt	20495	1	jiang.selfother1	10287617
4	4	selfimages1	si1cogaffRich	7	1	jiang.selfother1	10287617
4	5	selfimages1	si1valNorthrt	7712	1	jiang.selfother1	10287617
4	5	selfimages1	si1valNorth	4	1	jiang.selfother1	10287617
4	6	selfimages1	si1cogaffNorthrt	5000	1	jiang.selfother1	10287617
4	6	selfimages1	si1cogaffNorth	7	1	jiang.selfother1	10287617
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287617
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287617
6	1003	iatselfcog	d	0.06	1	jiang.selfother1	10287617
2	0	realstart	commitrt	57643	1	jiang.selfother1	10287620
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287620
4	1	selfwords1	sw1choose	2	1	jiang.selfother1	10287620
4	1	selfwords1	sw1choosert	95084	1	jiang.selfother1	10287620
4	2	selfwords1	sw1scalert	79792	1	jiang.selfother1	10287620
4	2	selfwords1	sw1scale	2	1	jiang.selfother1	10287620
4	3	selfwords1	sw1valmaplert	20997	1	jiang.selfother1	10287620
4	3	selfwords1	sw1valmaple	6	1	jiang.selfother1	10287620
4	4	selfwords1	sw1cogaffmaplert	64523	1	jiang.selfother1	10287620
4	4	selfwords1	sw1cogaffmaple	6	1	jiang.selfother1	10287620
4	5	selfwords1	sw1valoakrt	8933	1	jiang.selfother1	10287620
4	5	selfwords1	sw1valoak	6	1	jiang.selfother1	10287620
4	6	selfwords1	sw1cogaffoakrt	19031	1	jiang.selfother1	10287620
4	6	selfwords1	sw1cogaffoak	6	1	jiang.selfother1	10287620
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287620
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287620
6	1003	iatselfcog	d	0.14	1	jiang.selfother1	10287620
2	0	realstart	commit	i will complete the study with my full attention	1	jiang.selfother1	10287686
2	0	realstart	commitrt	32753	1	jiang.selfother1	10287686
4	1	otherwords2	ow2choosert	49327	1	jiang.selfother1	10287686
4	1	otherwords2	ow2choose	2	1	jiang.selfother1	10287686
4	2	otherwords2	ow2scalert	10563	1	jiang.selfother1	10287686
4	2	otherwords2	ow2scale	1	1	jiang.selfother1	10287686
4	3	otherwords2	ow2valoak	3	1	jiang.selfother1	10287686
4	3	otherwords2	ow2valoakrt	24308	1	jiang.selfother1	10287686
4	4	otherwords2	ow2cogaffoakrt	16627	1	jiang.selfother1	10287686
4	4	otherwords2	ow2cogaffoak	7	1	jiang.selfother1	10287686
4	5	otherwords2	ow2valmaple	6	1	jiang.selfother1	10287686
4	5	otherwords2	ow2valmaplert	11952	1	jiang.selfother1	10287686
4	6	otherwords2	ow2cogaffmaplert	10546	1	jiang.selfother1	10287686
4	6	otherwords2	ow2cogaffmaple	5	1	jiang.selfother1	10287686
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287686
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287686
6	1003	iatselfcog	d	-0.21	1	jiang.selfother1	10287686
2	0	realstart	commitrt	30556	1	jiang.selfother1	10287697
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287697
4	1	otherimages1	oi1choosert	24307	1	jiang.selfother1	10287697
4	1	otherimages1	oi1choose	1	1	jiang.selfother1	10287697
4	2	otherimages1	oi1scalert	14032	1	jiang.selfother1	10287697
4	2	otherimages1	oi1scale	6	1	jiang.selfother1	10287697
4	3	otherimages1	oi1valRichrt	7686	1	jiang.selfother1	10287697
4	3	otherimages1	oi1valRich	7	1	jiang.selfother1	10287697
4	4	otherimages1	oi1cogaffRich	5	1	jiang.selfother1	10287697
4	4	otherimages1	oi1cogaffRichrt	17980	1	jiang.selfother1	10287697
4	5	otherimages1	oi1valNorthrt	8699	1	jiang.selfother1	10287697
4	5	otherimages1	oi1valNorth	5	1	jiang.selfother1	10287697
4	6	otherimages1	oi1cogaffNorthrt	2170	1	jiang.selfother1	10287697
4	6	otherimages1	oi1cogaffNorth	5	1	jiang.selfother1	10287697
2	0	realstart	commitrt	40785	1	jiang.selfother1	10287776
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287776
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10287776
4	1	selfimages2	si2choosert	46249	1	jiang.selfother1	10287776
4	2	selfimages2	si2scale	6	1	jiang.selfother1	10287776
4	2	selfimages2	si2scalert	9420	1	jiang.selfother1	10287776
4	3	selfimages2	si2valNorthrt	8321	1	jiang.selfother1	10287776
4	3	selfimages2	si2valNorth	6	1	jiang.selfother1	10287776
4	4	selfimages2	si2cogaffNorthrt	26145	1	jiang.selfother1	10287776
4	4	selfimages2	si2cogaffNorth	4	1	jiang.selfother1	10287776
4	5	selfimages2	si2valRichrt	9751	1	jiang.selfother1	10287776
4	5	selfimages2	si2valRich	5	1	jiang.selfother1	10287776
4	6	selfimages2	si2cogaffRichrt	7403	1	jiang.selfother1	10287776
4	6	selfimages2	si2cogaffRich	4	1	jiang.selfother1	10287776
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287776
6	1002	iatselfcog	feedback	Your data suggest a moderate automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287776
6	1003	iatselfcog	d	-0.50	1	jiang.selfother1	10287776
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287787
2	0	realstart	commitrt	37825	1	jiang.selfother1	10287787
4	1	otherwords1	ow1choose	1	1	jiang.selfother1	10287787
4	1	otherwords1	ow1choosert	65593	1	jiang.selfother1	10287787
4	2	otherwords1	ow1scalert	33895	1	jiang.selfother1	10287787
4	2	otherwords1	ow1scale	5	1	jiang.selfother1	10287787
4	3	otherwords1	ow1valmaplert	31668	1	jiang.selfother1	10287787
4	3	otherwords1	ow1valmaple	7	1	jiang.selfother1	10287787
4	4	otherwords1	ow1cogaffmaple	2	1	jiang.selfother1	10287787
4	4	otherwords1	ow1cogaffmaplert	41983	1	jiang.selfother1	10287787
4	5	otherwords1	ow1valoakrt	10461	1	jiang.selfother1	10287787
4	5	otherwords1	ow1valoak	6	1	jiang.selfother1	10287787
4	6	otherwords1	ow1cogaffoakrt	10869	1	jiang.selfother1	10287787
4	6	otherwords1	ow1cogaffoak	7	1	jiang.selfother1	10287787
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287787
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287787
6	1003	iatselfcog	d	-0.05	1	jiang.selfother1	10287787
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287788
2	0	realstart	commitrt	197959	1	jiang.selfother1	10287788
4	1	selfimages2	si2choosert	50087	1	jiang.selfother1	10287788
4	1	selfimages2	si2choose	1	1	jiang.selfother1	10287788
4	2	selfimages2	si2scale	3	1	jiang.selfother1	10287788
4	2	selfimages2	si2scalert	45896	1	jiang.selfother1	10287788
4	3	selfimages2	si2valNorthrt	17292	1	jiang.selfother1	10287788
4	3	selfimages2	si2valNorth	6	1	jiang.selfother1	10287788
4	4	selfimages2	si2cogaffNorthrt	33483	1	jiang.selfother1	10287788
4	4	selfimages2	si2cogaffNorth	5	1	jiang.selfother1	10287788
4	5	selfimages2	si2valRichrt	13165	1	jiang.selfother1	10287788
4	5	selfimages2	si2valRich	5	1	jiang.selfother1	10287788
4	6	selfimages2	si2cogaffRichrt	29093	1	jiang.selfother1	10287788
4	6	selfimages2	si2cogaffRich	2	1	jiang.selfother1	10287788
6	1001	iatselfcog	block3Cond	Thinking/Other,Feeling/Self	1	jiang.selfother1	10287788
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287788
6	1003	iatselfcog	d	0.15	1	jiang.selfother1	10287788
2	0	realstart	commitrt	13867	1	jiang.selfother1	10287797
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287797
4	1	otherimages1	oi1choosert	42488	1	jiang.selfother1	10287797
4	1	otherimages1	oi1choose	2	1	jiang.selfother1	10287797
4	2	otherimages1	oi1scale	2	1	jiang.selfother1	10287797
4	2	otherimages1	oi1scalert	8643	1	jiang.selfother1	10287797
4	3	otherimages1	oi1valRichrt	12499	1	jiang.selfother1	10287797
4	3	otherimages1	oi1valRich	4	1	jiang.selfother1	10287797
4	4	otherimages1	oi1cogaffRich	3	1	jiang.selfother1	10287797
4	4	otherimages1	oi1cogaffRichrt	23152	1	jiang.selfother1	10287797
4	5	otherimages1	oi1valNorthrt	7109	1	jiang.selfother1	10287797
4	5	otherimages1	oi1valNorth	5	1	jiang.selfother1	10287797
4	6	otherimages1	oi1cogaffNorthrt	12615	1	jiang.selfother1	10287797
4	6	otherimages1	oi1cogaffNorth	7	1	jiang.selfother1	10287797
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287797
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287797
6	1003	iatselfcog	d	-0.02	1	jiang.selfother1	10287797
2	0	realstart	commitrt	73729	1	jiang.selfother1	10287801
2	0	realstart	commit	I will complete this study with my full attention	1	jiang.selfother1	10287801
4	1	selfimages1	si1choose	2	1	jiang.selfother1	10287801
4	1	selfimages1	si1choosert	43930	1	jiang.selfother1	10287801
4	2	selfimages1	si1scalert	22513	1	jiang.selfother1	10287801
4	2	selfimages1	si1scale	2	1	jiang.selfother1	10287801
4	3	selfimages1	si1valRichrt	22008	1	jiang.selfother1	10287801
4	3	selfimages1	si1valRich	7	1	jiang.selfother1	10287801
4	4	selfimages1	si1cogaffRichrt	27084	1	jiang.selfother1	10287801
4	4	selfimages1	si1cogaffRich	6	1	jiang.selfother1	10287801
4	5	selfimages1	si1valNorthrt	13278	1	jiang.selfother1	10287801
4	5	selfimages1	si1valNorth	7	1	jiang.selfother1	10287801
4	6	selfimages1	si1cogaffNorthrt	15678	1	jiang.selfother1	10287801
4	6	selfimages1	si1cogaffNorth	7	1	jiang.selfother1	10287801
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287801
6	1002	iatselfcog	feedback	Your data suggest little or no automatic association between Self and Other with Thinking and Feeling.	1	jiang.selfother1	10287801
6	1003	iatselfcog	d	-0.06	1	jiang.selfother1	10287801
2	0	realstart	commit	"I will complete this study with my full attention."	1	jiang.selfother1	10287811
2	0	realstart	commitrt	61737	1	jiang.selfother1	10287811
4	1	otherimages1	oi1choosert	25208	1	jiang.selfother1	10287811
4	1	otherimages1	oi1choose	1	1	jiang.selfother1	10287811
4	2	otherimages1	oi1scale	5	1	jiang.selfother1	10287811
4	2	otherimages1	oi1scalert	10623	1	jiang.selfother1	10287811
4	3	otherimages1	oi1valRichrt	11171	1	jiang.selfother1	10287811
4	3	otherimages1	oi1valRich	7	1	jiang.selfother1	10287811
4	4	otherimages1	oi1cogaffRich	4	1	jiang.selfother1	10287811
4	4	otherimages1	oi1cogaffRichrt	19198	1	jiang.selfother1	10287811
4	5	otherimages1	oi1valNorthrt	7830	1	jiang.selfother1	10287811
4	5	otherimages1	oi1valNorth	6	1	jiang.selfother1	10287811
4	6	otherimages1	oi1cogaffNorthrt	7079	1	jiang.selfother1	10287811
4	6	otherimages1	oi1cogaffNorth	7	1	jiang.selfother1	10287811
6	1001	iatselfcog	block3Cond	Feeling/Other,Thinking/Self	1	jiang.selfother1	10287811
6	1002	iatselfcog	feedback	Your data suggest a slight automatic association for Other with Thinking and Self with Feeling.	1	jiang.selfother1	10287811
6	1003	iatselfcog	d	-0.29	1	jiang.selfother1	10287811
2	0	realstart	commitrt	66646	1	jiang.selfother1	10287851
2	0	realstart	commit	I will complete this study with my full attention.	1	jiang.selfother1	10287851
4	1	otherimages2	oi2choose	1	1	jiang.selfother1	10287851
4	1	otherimages2	oi2choosert	69471	1	jiang.selfother1	10287851
4	2	otherimages2	oi2scalert	16578	1	jiang.selfother1	10287851
4	2	otherimages2	oi2scale	4	1	jiang.selfother1	10287851
4	3	otherimages2	oi2valNorthrt	31333	1	jiang.selfother1	10287851
4	3	otherimages2	oi2valNorth	7	1	jiang.selfother1	10287851
4	4	otherimages2	oi2cogaffNorthrt	28748	1	jiang.selfother1	10287851
4	4	otherimages2	oi2cogaffNorth	6	1	jiang.selfother1	10287851
4	5	otherimages2	oi2valRich	5	1	jiang.selfother1	10287851
4	5	otherimages2	oi2valRichrt	28494	1	jiang.selfother1	10287851
